Sample_prefix	chr	final_average_TL_p75	chr_order	arm	final_average_TL_p75_kb	direction	TL_group
6266D	chr12q	2331	12	q	2.331	Positive	Other
6269C	chr12p	4043.16666666667	12	p	4.04316666666667	Positive	Short TL
6269C	chr12q	4918.75	12	q	4.91875	Positive	Short TL
6277A	chr12p	6638.75	12	p	6.63875	Positive	Other
6277A	chr12q	6703	12	q	6.703	Positive	Other
6285B	chr12p	3126.5	12	p	3.1265	Positive	Short TL
6285B	chr12q	3656	12	q	3.656	Positive	Short TL
6298B	chr12p	3916	12	p	3.916	Positive	Other
6298B	chr12q	5358.5	12	q	5.3585	Positive	Other
6314E	chr12q	8929	12	q	8.929	Positive	Other
6324B	chr12p	3744.5	12	p	3.7445	Positive	Other
6324B	chr12q	3334	12	q	3.334	Positive	Other
6365A	chr12p	6876	12	p	6.876	Positive	Other
6365A	chr12q	4486.5	12	q	4.4865	Positive	Other
6414C	chr12p	3801.5	12	p	3.8015	Positive	Short TL
6414C	chr12q	3275.25	12	q	3.27525	Positive	Short TL
6423A	chr12p	4860.5	12	p	4.8605	Positive	Other
6423A	chr12q	5828	12	q	5.828	Positive	Other
6436B	chr12p	5063.5	12	p	5.0635	Positive	Other
6436B	chr12q	4837.25	12	q	4.83725	Positive	Other
6439C	chr12p	2460	12	p	2.46	Positive	Other
6439C	chr12q	6020.5	12	q	6.0205	Positive	Other
6478A	chr12p	3972	12	p	3.972	Positive	Other
6478A	chr12q	6452.5	12	q	6.4525	Positive	Other
6483C	chr12p	5712.5	12	p	5.7125	Positive	Other
6483C	chr12q	3204	12	q	3.204	Positive	Other
6500D	chr12p	6425.5	12	p	6.4255	Positive	Other
6500D	chr12q	6895.5	12	q	6.8955	Positive	Other
6605D	chr12p	6821.16666666667	12	p	6.82116666666667	Positive	Other
6605D	chr12q	3801.25	12	q	3.80125	Positive	Other
2436A	chr13p	7972.28571428571	13	p	7.97228571428571	Negative	Other
2436A	chr13q	5454	13	q	5.454	Positive	Other
3188	chr13p	4230.5	13	p	4.2305	Negative	Short TL
3188	chr13q	3465	13	q	3.465	Positive	Short TL
3988	chr13p	8283	13	p	8.283	Negative	Other
3988	chr13q	5875.33333333333	13	q	5.87533333333333	Positive	Other
6265D	chr13p	3786.5	13	p	3.7865	Negative	Other
6265D	chr13q	11754	13	q	11.754	Positive	Other
6266D	chr13p	7050	13	p	7.05	Negative	Other
6266D	chr13q	7529.66666666667	13	q	7.52966666666667	Positive	Other
6269C	chr13p	5922	13	p	5.922	Negative	Short TL
6269C	chr13q	5219	13	q	5.219	Positive	Short TL
6277A	chr13p	4624	13	p	4.624	Negative	Other
6277A	chr13q	7173.33333333333	13	q	7.17333333333333	Positive	Other
6285B	chr13p	4943	13	p	4.943	Negative	Short TL
6285B	chr13q	4999.5	13	q	4.9995	Positive	Short TL
6298B	chr13p	4290.75	13	p	4.29075	Negative	Other
6298B	chr13q	5124.5	13	q	5.1245	Positive	Other
6314E	chr13p	4142	13	p	4.142	Negative	Other
6314E	chr13q	3436	13	q	3.436	Positive	Other
6324B	chr13p	5372.5	13	p	5.3725	Negative	Other
6365A	chr13p	3575.33333333333	13	p	3.57533333333333	Negative	Other
6365A	chr13q	6328.5	13	q	6.3285	Positive	Other
6414C	chr13p	3878	13	p	3.878	Negative	Short TL
6414C	chr13q	3207.5	13	q	3.2075	Positive	Short TL
6423A	chr13p	3496.5	13	p	3.4965	Negative	Other
6423A	chr13q	3747.5	13	q	3.7475	Positive	Other
6436B	chr13p	4568.5	13	p	4.5685	Negative	Other
6436B	chr13q	8281.5	13	q	8.2815	Positive	Other
6439C	chr13p	6738	13	p	6.738	Negative	Other
6439C	chr13q	8785	13	q	8.785	Positive	Other
6478A	chr13p	4677.33333333333	13	p	4.67733333333333	Negative	Other
6478A	chr13q	7644.5	13	q	7.6445	Positive	Other
6483C	chr13q	4782	13	q	4.782	Positive	Other
6500D	chr13p	4939	13	p	4.939	Negative	Other
6500D	chr13q	4502	13	q	4.502	Positive	Other
6605D	chr13p	3483.5	13	p	3.4835	Negative	Other
6605D	chr13q	6952	13	q	6.952	Positive	Other
2436A	chr14p	9562	14	p	9.562	Positive	Other
2436A	chr14q	3490.6	14	q	3.4906	Positive	Other
3188	chr14q	2626	14	q	2.626	Positive	Short TL
3988	chr14p	5178.25	14	p	5.17825	Positive	Other
3988	chr14q	5690.33333333333	14	q	5.69033333333333	Positive	Other
6265D	chr14p	7839.5	14	p	7.8395	Positive	Other
6265D	chr14q	6329	14	q	6.329	Positive	Other
6266D	chr14p	3688.75	14	p	3.68875	Positive	Other
6266D	chr14q	5204.75	14	q	5.20475	Positive	Other
6269C	chr14p	5100	14	p	5.1	Positive	Short TL
6269C	chr14q	2039	14	q	2.039	Positive	Short TL
6277A	chr14p	9466	14	p	9.466	Positive	Other
6277A	chr14q	3409	14	q	3.409	Positive	Other
6285B	chr14q	4150	14	q	4.15	Positive	Short TL
6298B	chr14p	4711	14	p	4.711	Positive	Other
6298B	chr14q	7072	14	q	7.072	Positive	Other
6314E	chr14q	4851	14	q	4.851	Positive	Other
6324B	chr14p	5932	14	p	5.932	Positive	Other
6324B	chr14q	5255.5	14	q	5.2555	Positive	Other
6365A	chr14p	3758	14	p	3.758	Positive	Other
6365A	chr14q	4726.5	14	q	4.7265	Positive	Other
6414C	chr14q	2948.66666666667	14	q	2.94866666666667	Positive	Short TL
6423A	chr14p	3043	14	p	3.043	Positive	Other
6423A	chr14q	4391.5	14	q	4.3915	Positive	Other
6436B	chr14p	9276	14	p	9.276	Positive	Other
6436B	chr14q	5180.66666666667	14	q	5.18066666666667	Positive	Other
6439C	chr14p	4645	14	p	4.645	Positive	Other
6439C	chr14q	8998	14	q	8.998	Positive	Other
6478A	chr14p	11270.5	14	p	11.2705	Positive	Other
6478A	chr14q	6185.5	14	q	6.1855	Positive	Other
6483C	chr14p	3343.75	14	p	3.34375	Positive	Other
6483C	chr14q	4236	14	q	4.236	Positive	Other
6500D	chr14p	6203	14	p	6.203	Positive	Other
6500D	chr14q	5449.5	14	q	5.4495	Positive	Other
6605D	chr14p	6182.75	14	p	6.18275	Positive	Other
6605D	chr14q	6471.33333333333	14	q	6.47133333333333	Positive	Other
2436A	chr15p	4674.125	15	p	4.674125	Positive	Other
2436A	chr15q	4111.5	15	q	4.1115	Negative	Other
3188	chr15q	1874	15	q	1.874	Negative	Short TL
3988	chr15p	5760.5	15	p	5.7605	Positive	Other
3988	chr15q	4054	15	q	4.054	Negative	Other
6265D	chr15p	4370	15	p	4.37	Positive	Other
6265D	chr15q	5971	15	q	5.971	Negative	Other
6266D	chr15p	7711	15	p	7.711	Positive	Other
6269C	chr15p	6771.66666666667	15	p	6.77166666666667	Positive	Short TL
6269C	chr15q	3138.5	15	q	3.1385	Negative	Short TL
6277A	chr15p	6968.75	15	p	6.96875	Positive	Other
6277A	chr15q	7062	15	q	7.062	Negative	Other
6285B	chr15p	4057	15	p	4.057	Positive	Short TL
6285B	chr15q	4122.33333333333	15	q	4.12233333333333	Negative	Short TL
6298B	chr15p	4159.5	15	p	4.1595	Positive	Other
6298B	chr15q	3357	15	q	3.357	Negative	Other
6314E	chr15p	2220	15	p	2.22	Positive	Other
6324B	chr15p	6328	15	p	6.328	Positive	Other
6324B	chr15q	7624	15	q	7.624	Negative	Other
6365A	chr15p	2858	15	p	2.858	Positive	Other
6365A	chr15q	3267.75	15	q	3.26775	Negative	Other
6414C	chr15p	5079.5	15	p	5.0795	Positive	Short TL
6414C	chr15q	2821	15	q	2.821	Negative	Short TL
6423A	chr15q	5248	15	q	5.248	Negative	Other
6436B	chr15p	4771	15	p	4.771	Positive	Other
6436B	chr15q	5514	15	q	5.514	Negative	Other
6439C	chr15p	3084	15	p	3.084	Positive	Other
6439C	chr15q	5577.66666666667	15	q	5.57766666666667	Negative	Other
6478A	chr15q	4054	15	q	4.054	Negative	Other
6483C	chr15q	2935	15	q	2.935	Negative	Other
6500D	chr15p	7689	15	p	7.689	Positive	Other
6500D	chr15q	6113.25	15	q	6.11325	Negative	Other
6605D	chr15p	5565.75	15	p	5.56575	Positive	Other
6605D	chr15q	4634	15	q	4.634	Negative	Other
2436A	chr16p	6940.2	16	p	6.9402	Positive	Other
2436A	chr16q	5979	16	q	5.979	Negative	Other
3188	chr16p	2958	16	p	2.958	Positive	Short TL
3188	chr16q	2897.5	16	q	2.8975	Negative	Short TL
3988	chr16p	6043.5	16	p	6.0435	Positive	Other
3988	chr16q	7737.4	16	q	7.7374	Negative	Other
6265D	chr16p	9536	16	p	9.536	Positive	Other
6265D	chr16q	4782.5	16	q	4.7825	Negative	Other
6266D	chr16p	5183	16	p	5.183	Positive	Other
6266D	chr16q	12000.5	16	q	12.0005	Negative	Other
6269C	chr16p	4978.75	16	p	4.97875	Positive	Short TL
6269C	chr16q	4368.75	16	q	4.36875	Negative	Short TL
6277A	chr16p	4287.5	16	p	4.2875	Positive	Other
6277A	chr16q	187	16	q	0.187	Negative	Other
6285B	chr16p	3884	16	p	3.884	Positive	Short TL
6285B	chr16q	3144.5	16	q	3.1445	Negative	Short TL
6298B	chr16p	5419	16	p	5.419	Positive	Other
6298B	chr16q	6612.25	16	q	6.61225	Negative	Other
6314E	chr16p	5846	16	p	5.846	Positive	Other
6324B	chr16p	6613.66666666667	16	p	6.61366666666667	Positive	Other
6324B	chr16q	4127	16	q	4.127	Negative	Other
6365A	chr16p	4636.25	16	p	4.63625	Positive	Other
6365A	chr16q	4518.5	16	q	4.5185	Negative	Other
6414C	chr16p	3283	16	p	3.283	Positive	Short TL
6414C	chr16q	4629	16	q	4.629	Negative	Short TL
6423A	chr16p	4192.33333333333	16	p	4.19233333333333	Positive	Other
6423A	chr16q	3933	16	q	3.933	Negative	Other
6436B	chr16p	5973	16	p	5.973	Positive	Other
6436B	chr16q	4484.86666666667	16	q	4.48486666666667	Negative	Other
6439C	chr16p	7114	16	p	7.114	Positive	Other
6439C	chr16q	7530.5	16	q	7.5305	Negative	Other
6478A	chr16p	6405.5	16	p	6.4055	Positive	Other
6478A	chr16q	4328.83333333333	16	q	4.32883333333333	Negative	Other
6483C	chr16p	5642	16	p	5.642	Positive	Other
6483C	chr16q	126	16	q	0.126	Negative	Other
6500D	chr16p	5589	16	p	5.589	Positive	Other
6500D	chr16q	4864	16	q	4.864	Negative	Other
6605D	chr16p	5732.75	16	p	5.73275	Positive	Other
6605D	chr16q	5099.93333333333	16	q	5.09993333333333	Negative	Other
2436A	chr17p	7989.25	17	p	7.98925	Positive	Other
2436A	chr17q	4601.5	17	q	4.6015	Positive	Other
3188	chr17p	2353	17	p	2.353	Positive	Short TL
3188	chr17q	2825.75	17	q	2.82575	Positive	Short TL
3988	chr17p	4594	17	p	4.594	Positive	Other
3988	chr17q	6067	17	q	6.067	Positive	Other
6265D	chr17p	3477.16666666667	17	p	3.47716666666667	Positive	Other
6265D	chr17q	4720	17	q	4.72	Positive	Other
6266D	chr17p	4201	17	p	4.201	Positive	Other
6266D	chr17q	8153	17	q	8.153	Positive	Other
6269C	chr17p	5390	17	p	5.39	Positive	Short TL
6269C	chr17q	5776.25	17	q	5.77625	Positive	Short TL
6277A	chr17p	4621	17	p	4.621	Positive	Other
6277A	chr17q	6174	17	q	6.174	Positive	Other
6285B	chr17p	2440	17	p	2.44	Positive	Short TL
6285B	chr17q	2066	17	q	2.066	Positive	Short TL
6298B	chr17p	3771	17	p	3.771	Positive	Other
6298B	chr17q	5845	17	q	5.845	Positive	Other
6314E	chr17p	7325.5	17	p	7.3255	Positive	Other
6314E	chr17q	3068.66666666667	17	q	3.06866666666667	Positive	Other
6324B	chr17p	6391	17	p	6.391	Positive	Other
6324B	chr17q	4814	17	q	4.814	Positive	Other
6365A	chr17p	3855	17	p	3.855	Positive	Other
6365A	chr17q	5482.41666666667	17	q	5.48241666666667	Positive	Other
6414C	chr17p	4698.5	17	p	4.6985	Positive	Short TL
6414C	chr17q	3439.5	17	q	3.4395	Positive	Short TL
6423A	chr17p	5794	17	p	5.794	Positive	Other
6423A	chr17q	7706.25	17	q	7.70625	Positive	Other
6436B	chr17p	8236	17	p	8.236	Positive	Other
6436B	chr17q	4493	17	q	4.493	Positive	Other
6439C	chr17p	9333.5	17	p	9.3335	Positive	Other
6439C	chr17q	12546	17	q	12.546	Positive	Other
6478A	chr17p	6773.5	17	p	6.7735	Positive	Other
6478A	chr17q	2927.83333333333	17	q	2.92783333333333	Positive	Other
6483C	chr17p	7103	17	p	7.103	Positive	Other
6483C	chr17q	6656	17	q	6.656	Positive	Other
6500D	chr17p	5040.5	17	p	5.0405	Positive	Other
6500D	chr17q	5518	17	q	5.518	Positive	Other
6605D	chr17p	4924	17	p	4.924	Positive	Other
6605D	chr17q	4318	17	q	4.318	Positive	Other
2436A	chr18p	2265.83333333333	18	p	2.26583333333333	Negative	Other
2436A	chr18q	3629.5	18	q	3.6295	Positive	Other
3188	chr18p	2226	18	p	2.226	Negative	Short TL
3188	chr18q	2874.25	18	q	2.87425	Positive	Short TL
3988	chr18p	4387	18	p	4.387	Negative	Other
3988	chr18q	6042	18	q	6.042	Positive	Other
6265D	chr18p	5908.66666666667	18	p	5.90866666666667	Negative	Other
6265D	chr18q	5959	18	q	5.959	Positive	Other
6266D	chr18p	8683	18	p	8.683	Negative	Other
6266D	chr18q	5275.66666666667	18	q	5.27566666666667	Positive	Other
6269C	chr18p	5938	18	p	5.938	Negative	Short TL
6269C	chr18q	5185.75	18	q	5.18575	Positive	Short TL
6277A	chr18p	6668.25	18	p	6.66825	Negative	Other
6277A	chr18q	7351	18	q	7.351	Positive	Other
6285B	chr18p	2930.83333333333	18	p	2.93083333333333	Negative	Short TL
6285B	chr18q	4215.5	18	q	4.2155	Positive	Short TL
6298B	chr18p	3784	18	p	3.784	Negative	Other
6298B	chr18q	5907.33333333333	18	q	5.90733333333333	Positive	Other
6314E	chr18p	3521.5	18	p	3.5215	Negative	Other
6314E	chr18q	4951	18	q	4.951	Positive	Other
6324B	chr18p	5885.5	18	p	5.8855	Negative	Other
6324B	chr18q	5106.5	18	q	5.1065	Positive	Other
6365A	chr18p	5181	18	p	5.181	Negative	Other
6365A	chr18q	2471.5	18	q	2.4715	Positive	Other
6414C	chr18p	4263	18	p	4.263	Negative	Short TL
6414C	chr18q	4061	18	q	4.061	Positive	Short TL
6423A	chr18p	4178	18	p	4.178	Negative	Other
6423A	chr18q	3048.16666666667	18	q	3.04816666666667	Positive	Other
6436B	chr18p	4542.5	18	p	4.5425	Negative	Other
6436B	chr18q	4820	18	q	4.82	Positive	Other
6439C	chr18p	9677.5	18	p	9.6775	Negative	Other
6439C	chr18q	4467	18	q	4.467	Positive	Other
6478A	chr18p	4144	18	p	4.144	Negative	Other
6478A	chr18q	8445.33333333333	18	q	8.44533333333333	Positive	Other
6483C	chr18p	2292.25	18	p	2.29225	Negative	Other
6483C	chr18q	4160	18	q	4.16	Positive	Other
6500D	chr18p	3413.5	18	p	3.4135	Negative	Other
6500D	chr18q	6245.66666666667	18	q	6.24566666666667	Positive	Other
6605D	chr18p	3692.5	18	p	3.6925	Negative	Other
6605D	chr18q	5330	18	q	5.33	Positive	Other
2436A	chr19p	6319.75	19	p	6.31975	Negative	Other
2436A	chr19q	4544.5	19	q	4.5445	Positive	Other
3188	chr19p	3120.16666666667	19	p	3.12016666666667	Negative	Short TL
3188	chr19q	2957.66666666667	19	q	2.95766666666667	Positive	Short TL
3988	chr19p	2050.75	19	p	2.05075	Negative	Other
3988	chr19q	7326.5	19	q	7.3265	Positive	Other
6265D	chr19p	4000	19	p	4	Negative	Other
6265D	chr19q	6555	19	q	6.555	Positive	Other
6266D	chr19p	4961.46428571429	19	p	4.96146428571429	Negative	Other
6266D	chr19q	5271	19	q	5.271	Positive	Other
6269C	chr19q	5292	19	q	5.292	Positive	Short TL
6277A	chr19p	6247	19	p	6.247	Negative	Other
6277A	chr19q	2716.5	19	q	2.7165	Positive	Other
6285B	chr19p	3348.66666666667	19	p	3.34866666666667	Negative	Short TL
6285B	chr19q	1982.33333333333	19	q	1.98233333333333	Positive	Short TL
6298B	chr19p	6994	19	p	6.994	Negative	Other
6298B	chr19q	4602	19	q	4.602	Positive	Other
6314E	chr19p	1579.25	19	p	1.57925	Negative	Other
6314E	chr19q	6479.5	19	q	6.4795	Positive	Other
6324B	chr19p	187	19	p	0.187	Negative	Other
6324B	chr19q	5251.5	19	q	5.2515	Positive	Other
6365A	chr19p	3323	19	p	3.323	Negative	Other
6365A	chr19q	5301	19	q	5.301	Positive	Other
6414C	chr19p	4113.2	19	p	4.1132	Negative	Short TL
6423A	chr19p	11089	19	p	11.089	Negative	Other
6423A	chr19q	2740	19	q	2.74	Positive	Other
6436B	chr19p	2718	19	p	2.718	Negative	Other
6436B	chr19q	3874.5	19	q	3.8745	Positive	Other
6439C	chr19q	6130	19	q	6.13	Positive	Other
6478A	chr19p	3424.66666666667	19	p	3.42466666666667	Negative	Other
6478A	chr19q	4785.66666666667	19	q	4.78566666666667	Positive	Other
6483C	chr19p	5167.5	19	p	5.1675	Negative	Other
6483C	chr19q	4462.5	19	q	4.4625	Positive	Other
6500D	chr19p	5300	19	p	5.3	Negative	Other
6500D	chr19q	5812.5	19	q	5.8125	Positive	Other
6605D	chr19p	5374	19	p	5.374	Negative	Other
6605D	chr19q	4100.5	19	q	4.1005	Positive	Other
2436A	chr20p	5707.1	20	p	5.7071	Positive	Other
2436A	chr20q	4378.4	20	q	4.3784	Negative	Other
3188	chr20p	2923.75	20	p	2.92375	Positive	Short TL
3188	chr20q	2868.25	20	q	2.86825	Negative	Short TL
3988	chr20p	3244	20	p	3.244	Positive	Other
3988	chr20q	7025.5	20	q	7.0255	Negative	Other
6265D	chr20p	5561	20	p	5.561	Positive	Other
6265D	chr20q	4525.125	20	q	4.525125	Negative	Other
6266D	chr20p	3651.5	20	p	3.6515	Positive	Other
6266D	chr20q	1916	20	q	1.916	Negative	Other
6269C	chr20p	3327.25	20	p	3.32725	Positive	Short TL
6269C	chr20q	5551.5	20	q	5.5515	Negative	Short TL
6277A	chr20p	8050.5	20	p	8.0505	Positive	Other
6277A	chr20q	3514.5	20	q	3.5145	Negative	Other
6285B	chr20p	3150.25	20	p	3.15025	Positive	Short TL
6285B	chr20q	2429	20	q	2.429	Negative	Short TL
6298B	chr20p	5506.5	20	p	5.5065	Positive	Other
6298B	chr20q	2738.66666666667	20	q	2.73866666666667	Negative	Other
6314E	chr20p	6575	20	p	6.575	Positive	Other
6324B	chr20p	2322	20	p	2.322	Positive	Other
6324B	chr20q	5013	20	q	5.013	Negative	Other
6365A	chr20p	5565	20	p	5.565	Positive	Other
6365A	chr20q	3471.25	20	q	3.47125	Negative	Other
6414C	chr20p	3327.66666666667	20	p	3.32766666666667	Positive	Short TL
6414C	chr20q	3457.75	20	q	3.45775	Negative	Short TL
6423A	chr20p	5568.75	20	p	5.56875	Positive	Other
6423A	chr20q	3727.75	20	q	3.72775	Negative	Other
6436B	chr20p	4867.33333333333	20	p	4.86733333333333	Positive	Other
6436B	chr20q	5595.5	20	q	5.5955	Negative	Other
6439C	chr20p	3438	20	p	3.438	Positive	Other
6439C	chr20q	2376	20	q	2.376	Negative	Other
6478A	chr20p	5495	20	p	5.495	Positive	Other
6478A	chr20q	6056.33333333333	20	q	6.05633333333333	Negative	Other
6483C	chr20p	4762.25	20	p	4.76225	Positive	Other
6483C	chr20q	6776.33333333333	20	q	6.77633333333333	Negative	Other
6500D	chr20p	6467.5	20	p	6.4675	Positive	Other
6500D	chr20q	6939	20	q	6.939	Negative	Other
6605D	chr20p	5215	20	p	5.215	Positive	Other
6605D	chr20q	4242.75	20	q	4.24275	Negative	Other
2436A	chr21p	6595.58333333333	21	p	6.59558333333333	Positive	Other
2436A	chr21q	9482.6	21	q	9.4826	Negative	Other
3188	chr21p	2963.5	21	p	2.9635	Positive	Short TL
3188	chr21q	3706	21	q	3.706	Negative	Short TL
3988	chr21p	8405	21	p	8.405	Positive	Other
3988	chr21q	9040.5	21	q	9.0405	Negative	Other
6265D	chr21p	10534.875	21	p	10.534875	Positive	Other
6265D	chr21q	6390	21	q	6.39	Negative	Other
6266D	chr21p	4765	21	p	4.765	Positive	Other
6266D	chr21q	7273	21	q	7.273	Negative	Other
6269C	chr21p	3810.5	21	p	3.8105	Positive	Short TL
6269C	chr21q	2735	21	q	2.735	Negative	Short TL
6277A	chr21p	4229	21	p	4.229	Positive	Other
6277A	chr21q	4477	21	q	4.477	Negative	Other
6285B	chr21p	3390.5	21	p	3.3905	Positive	Short TL
6285B	chr21q	2966.5	21	q	2.9665	Negative	Short TL
6298B	chr21p	6278.5	21	p	6.2785	Positive	Other
6298B	chr21q	7714	21	q	7.714	Negative	Other
6314E	chr21p	5084.5	21	p	5.0845	Positive	Other
6314E	chr21q	4443	21	q	4.443	Negative	Other
6324B	chr21p	4962	21	p	4.962	Positive	Other
6324B	chr21q	4380	21	q	4.38	Negative	Other
6365A	chr21p	5942	21	p	5.942	Positive	Other
6365A	chr21q	4637.66666666667	21	q	4.63766666666667	Negative	Other
6414C	chr21p	3839	21	p	3.839	Positive	Short TL
6414C	chr21q	3218	21	q	3.218	Negative	Short TL
6423A	chr21p	9530	21	p	9.53	Positive	Other
6423A	chr21q	2922	21	q	2.922	Negative	Other
6436B	chr21p	5204.75	21	p	5.20475	Positive	Other
6436B	chr21q	3587	21	q	3.587	Negative	Other
6439C	chr21p	5695	21	p	5.695	Positive	Other
6439C	chr21q	3747	21	q	3.747	Negative	Other
6478A	chr21p	4154	21	p	4.154	Positive	Other
6478A	chr21q	6340	21	q	6.34	Negative	Other
6483C	chr21q	8830	21	q	8.83	Negative	Other
6500D	chr21p	7434	21	p	7.434	Positive	Other
6500D	chr21q	5866.5	21	q	5.8665	Negative	Other
6605D	chr21q	7687	21	q	7.687	Negative	Other
2436A	chr22q	7070.1	22	q	7.0701	Positive	Other
3188	chr22p	2627.8	22	p	2.6278	Positive	Short TL
3188	chr22q	2676	22	q	2.676	Positive	Short TL
3988	chr22p	8358	22	p	8.358	Positive	Other
3988	chr22q	7252.16666666667	22	q	7.25216666666667	Positive	Other
6265D	chr22p	5696	22	p	5.696	Positive	Other
6265D	chr22q	8057.5	22	q	8.0575	Positive	Other
6266D	chr22p	3949	22	p	3.949	Positive	Other
6266D	chr22q	8680	22	q	8.68	Positive	Other
6269C	chr22p	5995.5	22	p	5.9955	Positive	Short TL
6269C	chr22q	3979	22	q	3.979	Positive	Short TL
6277A	chr22q	5396.75	22	q	5.39675	Positive	Other
6285B	chr22p	4185.25	22	p	4.18525	Positive	Short TL
6285B	chr22q	2699.5	22	q	2.6995	Positive	Short TL
6298B	chr22p	5762	22	p	5.762	Positive	Other
6298B	chr22q	5574.5	22	q	5.5745	Positive	Other
6314E	chr22p	3579	22	p	3.579	Positive	Other
6314E	chr22q	4374.5	22	q	4.3745	Positive	Other
6324B	chr22q	5772	22	q	5.772	Positive	Other
6365A	chr22p	3611.83333333333	22	p	3.61183333333333	Positive	Other
6365A	chr22q	5419.5	22	q	5.4195	Positive	Other
6414C	chr22p	4584.5	22	p	4.5845	Positive	Short TL
6414C	chr22q	3356.5	22	q	3.3565	Positive	Short TL
6423A	chr22p	5817	22	p	5.817	Positive	Other
6423A	chr22q	3632.5	22	q	3.6325	Positive	Other
6436B	chr22p	6372.5	22	p	6.3725	Positive	Other
6436B	chr22q	6561	22	q	6.561	Positive	Other
6439C	chr22p	8873.5	22	p	8.8735	Positive	Other
6439C	chr22q	5596.75	22	q	5.59675	Positive	Other
6478A	chr22p	6241	22	p	6.241	Positive	Other
6478A	chr22q	5179.75	22	q	5.17975	Positive	Other
6483C	chr22p	9634	22	p	9.634	Positive	Other
6483C	chr22q	5352.5	22	q	5.3525	Positive	Other
6500D	chr22p	4768	22	p	4.768	Positive	Other
6500D	chr22q	3249.5	22	q	3.2495	Positive	Other
6605D	chr22p	5490.25	22	p	5.49025	Positive	Other
6605D	chr22q	3118	22	q	3.118	Positive	Other
